filename,words,year_float,characters,num_pages,orientation,year,words_per_page,chars_per_word,appx_start,ref_start,appx_len_chars,ref_len_chars,appx_len_words,ref_len_words,appx_prop_words,ref_prop_words,appx_prop_chars,ref_prop_chars,ref_words_per_char,appx_words_per_char,body_len_chars,body_len_words
2002/p196-stevens,7364,2002.0,53843,10,0.0,2002,736.4,7.311651276480174,False,49173,0,4670,0,626,0.0,0.08500814774579032,0.0,0.08673365154244748,7.460063897763578,,49173,6738
2002/p1-handel,8278,2002.0,57050,10,0.0,2002,827.8,6.891761294998792,False,51604,0,5446,0,753,0.0,0.090964000966417,0.0,0.0954601226993865,7.232403718459495,,51604,7525
2002/p206-kraut,5945,2002.0,40280,10,0.0,2002,594.5,6.775441547518923,False,37072,0,3208,0,435,0.0,0.07317073170731707,0.0,0.07964250248262165,7.374712643678161,,37072,5510
2002/p216-whittaker,8759,2002.0,61011,10,0.0,2002,875.9,6.965521178216691,False,58687,0,2324,0,328,0.0,0.03744719716862656,0.0,0.038091491698218356,7.085365853658536,,58687,8431
2002/p21-grinter,9283,2002.0,61047,10,0.0,2002,928.3,6.576214585802004,False,54831,0,6216,0,863,0.0,0.09296563610901648,0.0,0.10182318541451668,7.202780996523754,,54831,8420
2002/p226-bradner,8343,2002.0,54896,10,0.0,2002,834.3,6.579887330696392,False,49257,0,5639,0,755,0.0,0.09049502577010668,0.0,0.10272150976391722,7.468874172185431,,49257,7588
2002/p236-laurillau,7772,2002.0,53294,10,0.0,2002,777.2,6.857179619145651,False,49225,0,4069,0,548,0.0,0.07050952135872363,0.0,0.07635005816789883,7.425182481751825,,49225,7224
2002/p246-li,8063,2002.0,53305,10,0.0,2002,806.3,6.611062879821406,False,45292,0,8013,0,1051,0.0,0.13034850551903757,0.0,0.15032360941750306,7.6241674595623214,,45292,7012
2002/p256-edwards,8592,2002.0,56793,10,0.0,2002,859.2,6.6099860335195535,False,52870,0,3923,0,508,0.0,0.059124767225325885,0.0,0.06907541422358389,7.72244094488189,,52870,8084
2002/p266-lutters,9107,2002.0,58941,10,0.0,2002,910.7,6.472054463599429,False,56890,0,2051,0,290,0.0,0.03184363676292962,0.0,0.03479750937378056,7.072413793103448,,56890,8817
2002/p276-painter,8313,2002.0,54262,10,0.0,2002,831.3,6.527366774930831,False,52566,0,1696,0,229,0.0,0.027547215205100443,0.0,0.03125575909476245,7.406113537117904,,52566,8084
2002/p286-pettersson,9721,2002.0,58479,10,0.0,2002,972.1,6.015739121489559,False,54457,0,4022,0,557,0.0,0.05729863182800123,0.0,0.0687768258691154,7.220825852782765,,54457,9164
2002/p296-grasso,7029,2002.0,44610,10,0.0,2002,702.9,6.346564233888177,False,42305,0,2305,0,313,0.0,0.044529805093185375,0.0,0.0516700291414481,7.364217252396166,,42305,6716
2002/p306-millen,6307,2002.0,43658,8,0.0,2002,788.375,6.922149992072301,False,38974,0,4684,0,649,0.0,0.10290153797368004,0.0,0.10728846946722251,7.217257318952234,,38974,5658
2002/p314-cadiz,7770,2002.0,52212,10,0.0,2002,777.0,6.719691119691119,False,47529,0,4683,0,616,0.0,0.07927927927927927,0.0,0.08969202482188003,7.6022727272727275,,47529,7154
2002/p31-kraut,8192,2002.0,52212,10,0.0,2002,819.2,6.37353515625,False,48772,0,3440,0,471,0.0,0.0574951171875,0.0,0.06588523711024286,7.3036093418259025,,48772,7721
2002/p324-shen,7602,2002.0,51319,10,0.0,2002,760.2,6.750723493817416,False,47218,0,4101,0,520,0.0,0.06840305182846619,0.0,0.07991192345914769,7.8865384615384615,,47218,7082
2002/p334-begole,8364,2002.0,52768,10,0.0,2002,836.4,6.308943089430894,False,49564,0,3204,0,433,0.0,0.05176948828311813,0.0,0.060718617343844754,7.399538106235566,,49564,7931
2002/p344-reddy,9540,2002.0,61337,10,0.0,2002,954.0,6.429454926624738,False,55066,0,6271,0,848,0.0,0.08888888888888889,0.0,0.10223845313595382,7.3950471698113205,,55066,8692
2002/p354-jouppi,8524,2002.0,52116,10,0.0,2002,852.4,6.114030971374941,False,48930,0,3186,0,458,0.0,0.053730642890661665,0.0,0.06113285747179369,6.956331877729258,,48930,8066
2002/p364-prince,6815,2002.0,43946,8,0.0,2002,851.875,6.448422597212033,False,37098,0,6848,0,985,0.0,0.144534115920763,0.0,0.15582760660810996,6.952284263959391,,37098,5830
2002/p372-jones,8039,2002.0,50933,10,0.0,2002,803.9,6.335738275904963,False,45373,0,5560,0,754,0.0,0.09379276029356885,0.0,0.10916301808257907,7.374005305039788,,45373,7285
2002/p41-vertegaal,6939,2002.0,45877,8,0.0,2002,867.375,6.611471393572561,False,43081,0,2796,0,398,0.0,0.05735696786280444,0.0,0.060945571855177974,7.025125628140704,,43081,6541
2002/p49-gutwin,6479,2002.0,42125,9,0.0,2002,719.8888888888889,6.501774965272419,False,38174,0,3951,0,531,0.0,0.08195709214384936,0.0,0.09379228486646884,7.440677966101695,,38174,5948
2002/p58-davis,8051,2002.0,51361,10,0.0,2002,805.1,6.379455968202707,False,47321,0,4040,0,504,0.0,0.06260091914047944,0.0,0.07865890461634314,8.015873015873016,,47321,7547
2002/p68-wang,6557,2002.0,41713,9,0.0,2002,728.5555555555555,6.361598291901784,False,37153,0,4560,0,624,0.0,0.09516547201464085,0.0,0.10931843789705847,7.3076923076923075,,37153,5933
2002/p77-shen,8526,2002.0,56049,10,0.0,2002,852.6,6.573891625615763,False,53455,0,2594,0,353,0.0,0.041402768003753226,0.0,0.04628093275526771,7.348441926345609,,53455,8173
